"LANGUAGE","简体中文","Language name (in native language)."
"LANGUAGE_CHOICE","选择语言（需要重启游戏）","Heading for language selection menu."
"LANGUAGE_GAME","使用游戏默认语言","Default selection in language selection menu."
"NOTE_CLOSE","关闭","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","不再显示","Notification button text - don't show this notification again."
"NO","否","Notification button text - don't perform this action."
"YES","是","Notification button text - perfom this action."
"PRESS_ANY_KEY","请按任意键","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","检测到不兼容模组！","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","这表明模组无法运行且已经自动关闭","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","为使模组能正常使用，请取消订阅以下不兼容模组：","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","此模组无法调用它所需的 Harmony 库。","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","造成该问题的原因可能是：","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","此模组所需的必需物品 Harmony 2 未订阅或未启用","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","存在一个过时/损坏的模组导致 Harmony 2 模组无法正常运行","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","另一个模组可能在尝试调用冲突的 Harmony 库","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","启用详细的调试日志记录","Option to record more detail in game log"
"MODDESCRIPTION","以不同的视角查看您的城市","Mod's Description"
"SETTINGS_HIDEUI","隐藏游戏UI",""
"SETTINGS_SETBACKCAMERA","退出后重置摄像机位置",""
"SETTINGS_SETBACKCAMERA_DETAIL","退出第一人称摄像机后，将摄像机位置重置回之前的位置",""
"SETTINGS_USEMETRICUNIT","使用公制单位",""
"SETTINGS_SHOWINFOPANEL","显示信息面板",""
"SETTINGS_INFOPANELHEIGHTSCALE","信息面板高度缩放因子",""